2025/03/08 14:45:53 --- MTP Music Manager Started ---
2025/03/08 14:45:53 OS: darwin, Architecture: arm64
2025/03/08 14:45:53 Verbose logging: true
2025/03/08 14:45:53 [VERBOSE] (main.go:25) Starting MTP Music Manager
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Overland.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/MeditationMeditation.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Activity (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Activity/2025-03-07-16-12-54.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Schedule (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/.Intervals (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/.FTP (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Guided (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Guided/adc_schedule.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/30-Minute_Blast_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Back_to_Basics_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Back-to-Basics_Workout_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Improve_Flexibility_Now_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Maximize_Your_Upper_Body_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Pilates_On_the_Road_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Articulate_Your_Spine_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Sun_Salutations_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Tabata_Abs__Planks_&_Sit-ups_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Tabata_Something_Else_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Tabata_Squats,_Sit-Ups_&_Pushup_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Workouts/Wake_Up,_Energize!_workout.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Courses (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Schedule (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Schedule/Schedule.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Location (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Location/Lctns.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Totals (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Totals/Totals.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Goals (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Goals/Goals.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Records (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Records/Records.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Segments (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Segments/debug (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Seg_List (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Seg_List/seg_list.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/MltSport (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/MltSport/0Triathlon.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/MltSport/1Swimrun.fit (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor (IsDir: true)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38C2823.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38C3810.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38C5030.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38D1641.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38D2744.FIT (IsDir: false)
2025/03/08 14:45:57 [VERBOSE] (list.go:680) Examining file: /GARMIN/Monitor/M38D3110.FIT (IsDir: false)
